video_id,comment_id,author,parent
pHSb00vip60,UgzrmkMvz9OaU5GIG_l4AaABAg.APqEsAOfulNAPsR9UICP3i,@NguyễnTuấnKiệt-g5c,@NguyễnTuấnKiệt-g5c
pHSb00vip60,Ugyo2786mjuUv3NFoN14AaABAg,@phat7a5nguyen20,
pHSb00vip60,UgxnR_296Y9-9H4zfeV4AaABAg,@bachhop2145,
pHSb00vip60,UgyguQR62yf4Nu3ok7l4AaABAg,@phucthien7888,
pHSb00vip60,UgxkYiBF3m-9kcqBRI54AaABAg,@inhtrieureview1926,
pHSb00vip60,Ugydcqqx7DbsykQGbsd4AaABAg,@Anna-vx4ie,
pHSb00vip60,UgwEUqJBYJpR-xCyN6x4AaABAg,@雅芳-e8l,
pHSb00vip60,UgwVtyteT0ZW2bKZtsJ4AaABAg,@tranuchung4285,
pHSb00vip60,Ugw7BTEgT9KV6z07sxF4AaABAg,@ThanhSang-q9w,
pHSb00vip60,UgwmBE_8kg2NVY_AlHR4AaABAg,@imthanhthao,
pHSb00vip60,UgzDX9QNIrhpuxaJNEd4AaABAg,@nguyenvanvang7069,
pHSb00vip60,UgyanW8-_JZfw-1C82t4AaABAg,@SonThanhh8686,
pHSb00vip60,UgyfrabogZkbovtajAJ4AaABAg,@sovang6533,
pHSb00vip60,Ugwt0Q2VeKpdBmTVtgZ4AaABAg,@HảoGia-q2g,
pHSb00vip60,UgwKbs-ots-QTiaHWWd4AaABAg,@ThịnhVũ-z8f,
pHSb00vip60,UgxTKyyzangsPpTkiO94AaABAg,@ThịnhVũ-z8f,
pHSb00vip60,Ugya7Kj1T0veBgIlb9l4AaABAg,@HungHoang-hw1my,
pHSb00vip60,UgyvpGL1Etfy4lrnURd4AaABAg,@VuAncut-vb2gt,
pHSb00vip60,UgzPEt3oeHxC-61yq854AaABAg,@huynhduong4214,
pHSb00vip60,UgyV4jGleu1FtsgFZXl4AaABAg,@tientran5256,
pHSb00vip60,Ugz0l1nPjjOIYgLtghF4AaABAg,@HuynhMinhHungLe,
